paper,metric,midpoint,lower_bound,upper_bound,rationale
Salazar and Restrepo 2024,overall,86.0,78.0,92.0,"Ambitious and policy-relevant GE model linking conservation to land, labor, and trade with careful calibration for Brazil. Combines reduced-form evidence with structural counterfactuals. Preliminary; some strong assumptions (closed economy, parameter identification) and constructed measures temper confidence."
Salazar and Restrepo 2024,claims_evidence,82.0,74.0,90.0,Main claims—targeting high-deforestation areas curbs aggregate loss; leakage modest but rising—are supported by calibrated GE simulations and complementary RD/event-study evidence. Evidence is persuasive but hinges on modeling choices and data imputation for revenues; external validation limited.
Salazar and Restrepo 2024,methods,80.0,70.0,88.0,"Well-motivated spatial GE with migration, non-homothetic prefs, sectoral land shares, calibrated via inversion. Sensible elasticities; IV for δ; RD with checks. Key sensitivities: closed-economy assumption, ψ and δ identification, trade elasticities, and price construction. Robustness explored but can deepen."
Salazar and Restrepo 2024,advancing_knowledge,88.0,80.0,94.0,Adds deforestation as an explicit sector and migration to spatial GE; quantifies leakage dynamics over horizons; bridges reduced-form and structural approaches. Offers actionable insights for conservation design and debates on leakage and targeting in Brazil.
Salazar and Restrepo 2024,logic_communication,84.0,76.0,90.0,"Clear motivation, mechanisms, and policy mapping. Transparent derivations and data sources; helpful figures. Some sections could streamline notation and better separate identification vs calibration. Preliminary draft has minor gaps but overall coherent."
Salazar and Restrepo 2024,open_science,66.0,50.0,78.0,"Uses public datasets and documents construction steps; parameter tables and appendices aid replication. As a preliminary draft, code/data availability is not evident; full replication package and preanalysis for reduced-form would raise this."
Salazar and Restrepo 2024,global_relevance,90.0,82.0,96.0,"High salience for climate policy, REDD+, and conservation finance. Brazil outcomes matter globally; framework portable to other frontiers. Produces quantities useful for policy (leakage magnitudes, targeting guidance)."
Schoenegger et al. 2025,overall,85.0,78.0,91.0,"Well-designed preregistered RCT with large N shows sizable accuracy gains from LLM assistants in forecasting. Clear analyses, robustness checks, and discussion of an outlier. Some threats: control uses weak LLM vs human-only, winsorization choices, single session/6 Qs, external validity limits. Still strong applied relevance and credible findings."
Schoenegger et al. 2025,claims_evidence,80.0,72.0,88.0,Claims are specific (24–28% improvement; heterogeneity tests). Evidence includes preregistered ANOVA and mixed models. Outlier (Q3) influences some results; exploratory re-analyses help but temper strength. Effect sizes reported; multiple testing controlled. Some deviations from prereg noted but justified.
Schoenegger et al. 2025,methods,75.0,67.0,84.0,"Randomization, preregistration, attention checks, standardized accuracy, and sensible models. Limitations: control design (weak LLM not human-only), post-collection winsorization scheme, temperature/high-variance outputs, limited question set, Prolific sample. Skill measure is noisy. Still reasonable and transparent."
Schoenegger et al. 2025,advancing_knowledge,78.0,70.0,86.0,Advances human-AI collaboration literature by showing interactive LLM augmentation improves judgmental forecasting. Novel comparison of ‘superforecasting’ vs ‘noisy’ prompts. Practical implications for orgs. Contribution moderated by outlier sensitivity and domain scope.
Schoenegger et al. 2025,logic_communication,86.0,80.0,92.0,"Clear motivation, hypotheses, design, and analyses. Figures/tables aid interpretation. Limitations and deviations are candid. Reasoning generally consistent with results; distinctions between preregistered and exploratory are explicit."
Schoenegger et al. 2025,open_science,70.0,58.0,82.0,Preregistration and ethics approval; extensive methodological detail and prompts included; CC BY license. Data/code availability not clearly provided in text excerpt; control deviation noted. Replication feasible but would benefit from full dataset/materials release.
Schoenegger et al. 2025,global_relevance,75.0,65.0,85.0,"Forecasting accuracy is broadly valuable for policy, business, and risk. Results suggest practical gains from LLM assistants. Generalizability to expert forecasters and high-stakes domains uncertain; question set limited and short horizon."
Schuett et al. 2023,overall,80.0,72.0,87.0,"Authoritative purposive sample, clear findings, and timely policy relevance. Solid survey design and transparent limitations. Constraints: small N, selection bias, abstract items inflate agreement, limited item-level power. Still a useful baseline for standards discussions; credible, well-communicated, and actionable."
Schuett et al. 2023,claims_evidence,77.0,68.0,85.0,"Claims closely match descriptive evidence. Appropriate reporting of agreement levels and uncertainties. No overreach on causality. Limitations acknowledged. Evidence strength bounded by purposive sampling, small subgroup sizes, and abstraction of statements that may raise agreement rates."
Schuett et al. 2023,methods,70.0,62.0,79.0,"Competent expert survey: clear sampling frame, Likert scaling, Mann-Whitney and chi-squared with multiplicity control. Pre-reg and plan largely followed. Weaknesses: potential sampling/response bias, modest N, optional items reduce power, abstract items, limited rationale elicitation."
Schuett et al. 2023,advancing_knowledge,75.0,66.0,84.0,Synthesizes cross-sector expert consensus on 50 practices; practical input for emerging standards and regulation. Not theory-building; advances applied governance by prioritizing practices and highlighting uncertainty areas. Adds value as a foundation for best-practice development.
Schuett et al. 2023,logic_communication,85.0,78.0,92.0,"Clear framing, transparent definitions, thorough reporting, informative figures, structured discussion and limitations. Conclusions aligned to evidence with appropriate caveats. Minor ambiguity around timing/instantiation of practices noted by authors."
Schuett et al. 2023,open_science,82.0,72.0,90.0,"Pre-registration, OSF materials, code shared. Data access constrained to protect anonymity; deviations documented. Replication feasible for quantitative parts given provided materials, though full raw demographics withheld for privacy."
Schuett et al. 2023,global_relevance,88.0,80.0,94.0,"High salience for AGI lab governance and near-term policy in US/EU/UK; findings map to standards, audits, risk assessments, and safety practices broadly applicable to foundation models beyond AGI labs."
Trammel and Aschenbrenner 2025,overall,88.0,80.0,94.0,"Strong, timely theory clarifying growth–x-risk tradeoffs with clear propositions, comparative statics, and policy interpretation. Integrates state vs transition risk and a Kuznets dynamic under optimal policy. Limitations: stylized assumptions, limited empirical calibration, some normative scope left implicit."
Trammel and Aschenbrenner 2025,claims_evidence,84.0,75.0,92.0,"Claims are clearly stated and well-supported by formal modeling and proofs; simulations illustrate. Evidence is theoretical; empirical grounding of hazard elasticities and policy frictions is light, and external validation is limited."
Trammel and Aschenbrenner 2025,methods,86.0,78.0,92.0,"Sound continuous-time modeling, careful definitions, propositions with proofs, and thoughtful edge cases. Sensitivity to key parameters (gamma, elasticities) and policy frictions discussed. Some assumptions strong; calibration and identification absent by design."
Trammel and Aschenbrenner 2025,advancing_knowledge,88.0,80.0,95.0,Shifts the discourse by challenging ‘slower is safer’ under nonzero baseline risk and showing conditions for positive risk-minimizing growth. Offers a unifying framework for state vs transition risk and policy responsiveness. Likely to influence policy debates and future quantitative work.
Trammel and Aschenbrenner 2025,logic_communication,87.0,78.0,93.0,"Clear setup, consistent notation, intuitive interpretations, and helpful propositions/corollaries. Good separation of cases and policy implications. Dense in places; some readers may find technical sections challenging."
Trammel and Aschenbrenner 2025,open_science,72.0,55.0,85.0,"Model details, assumptions, and derivations are explicit; appendices and code link for simulations are provided. No datasets; some proofs sketched but adequate. Reproducibility good for theory, moderate for any quantitative claims."
Trammel and Aschenbrenner 2025,global_relevance,92.0,85.0,98.0,"Highly relevant to AI/bio/climate x-risk policy and growth strategy. Offers actionable conceptual tools (e.g., conditions on gamma, elasticities) that can guide prioritization and regulation intensity across technologies."
Walker et al. 2023,overall,90.0,82.0,95.0,"Rare 23-year RCT-based intergenerational evidence with large practical importance. Well-implemented design, strong tracking, robust analyses, and policy-relevant cost-benefit. Some residual concerns: self-reported child deaths, mechanism identification not causal, broader deworming debate."
Walker et al. 2023,claims_evidence,88.0,80.0,93.0,"Primary claim (22% U5MR reduction in next generation) is clear and supported by randomized assignment, multiple robustness checks, dose-response, and heterogeneity. Infant mortality result is not significant and appropriately caveated. Mechanism claims are exploratory and framed cautiously."
Walker et al. 2023,methods,87.0,79.0,92.0,"Credible RCT with phased-in design, high tracking, appropriate clustering/weights, robustness (LPM/logit/probit; alt weights). Thoughtful handling of composition. Limits: mediation not identified, reliance on parent-reported vital status, potential spillovers/spousal treatment not fully isolated."
Walker et al. 2023,advancing_knowledge,92.0,85.0,97.0,"Provides first causal evidence on intergenerational child survival from adolescent deworming with quantified social returns. Extends KLPS literature to mortality, informing debates on timing of health investments and external validity for LMIC policy."
Walker et al. 2023,logic_communication,85.0,78.0,91.0,"Clear research question, setup, and results; transparent caveats; figures/tables effective. Some complexity in weighting/tracking could challenge non-experts; mechanism section necessarily tentative."
Walker et al. 2023,open_science,72.0,60.0,82.0,"Pre-registered (AEARCTR), detailed appendices, clear variable construction. KLPS data typically requires application; full replication package availability not fully evident in the working paper. Disclosures included."
Walker et al. 2023,global_relevance,95.0,90.0,99.0,"Highly relevant to child survival in LMICs with helminth burden; informs large-scale deworming, education, and maternal-child health policy. Direct, quantifiable effects and cost-effectiveness estimates for practitioners."
Weaver et al. 2025,overall,92.0,86.0,96.0,"Large, policy-embedded RCT with strong design, detailed measurement across the income→nutrition→development chain, credible nulls on anthropometrics, positive functional development and equity gains. Careful heterogeneity on sanitation. High external validity for India and similar contexts."
Weaver et al. 2025,claims_evidence,90.0,85.0,95.0,Main questions are clear; claims are generally well-matched to evidence. ITT focus appropriate; careful interpretation of null anthropometrics and mediation by sanitation. Results triangulated with meta-analyses and comparable studies; limitations from COVID disruptions are acknowledged.
Weaver et al. 2025,methods,93.0,88.0,97.0,"Cluster RCT with strong sampling, preregistered PAPs, sector FE, clustered SEs, rich consumption measurement, reasonable heterogeneity strategy, and robustness/upper-bound mediation checks. Some reliance on post-treatment sanitation measures but balance/validity addressed."
Weaver et al. 2025,advancing_knowledge,88.0,82.0,94.0,First large-scale experimental evidence on unconditional maternal transfers in India; links cash vs in-kind MPCs; shows equity gains and functional development; clarifies sanitation as mediator. Advances policy-relevant understanding despite modest average anthropometric effects.
Weaver et al. 2025,logic_communication,92.0,87.0,96.0,Clear causal chain framing; transparent limitations; coherent narrative from expenditure to intake to outcomes; thoughtful policy discussion. Extensive appendices and figures/tables aid interpretation. Some sections are long but remain focused.
Weaver et al. 2025,open_science,76.0,60.0,88.0,"AEA registry and PAPs preregistered; detailed measurement protocols described. As an NBER WP, data/code availability not clearly provided here; replication package status unclear. Good transparency, moderate data openness."
Weaver et al. 2025,global_relevance,95.0,90.0,98.0,"Highly relevant to LMIC social protection, maternal/child health, gender equity; immediate policy salience in India with vast scale of transfers; insights generalize to similar settings and inform cash vs in-kind debates and WASH complementarities."
Williams et al. 2024,overall,94.0,89.0,98.0,"High-impact, policy-relevant mapping with fine spatial resolution, clear findings, and strong validation. Quantifies large carbon potential and offers actionable targeting. Some caveats on socioeconomic dynamics, leakage, and input data resolution heterogeneity temper certainty but not overall value."
Williams et al. 2024,claims_evidence,92.0,87.0,96.0,Core claims (extent of regeneration potential; carbon sequestration) are clearly stated and backed by large-sample ML predictions with external datasets. Uncertainty is discussed. Carbon estimates derived from established layers. Limits: assumption of stationarity to 2030; omission risks and leakage affect realized outcomes.
Williams et al. 2024,methods,90.0,85.0,94.0,"Robust random forest modelling on millions of points; careful variable selection; validation including autocorrelation sensitivity; clear predictor set. Conservative choice to rely on biophysical variables aids robustness. Constraints: mixed input resolutions, historical training window, potential residual spatial bias."
Williams et al. 2024,advancing_knowledge,93.0,88.0,97.0,"Moves beyond coarse expert-based opportunity maps by using observed regrowth to predict potential at 30 m across tropics, enabling targeted restoration and carbon planning. Provides national allocations and drivers. Advances practice despite not integrating full economic/feasibility layers."
Williams et al. 2024,logic_communication,90.0,86.0,94.0,Narrative is coherent; assumptions and limitations stated; figures and extended data support reasoning. Clear distinction between potential vs realized outcomes and between continuous potential and area-weighted reporting. Minor complexity in area translation may challenge non-specialists.
Williams et al. 2024,open_science,78.0,70.0,86.0,"Input data are public; outputs released on Zenodo at 30 m; uncertainty and validation described. Code availability on request, not fully open; some dependencies on evolving third-party datasets. Overall reproducibility good but not maximal."
Williams et al. 2024,global_relevance,95.0,91.0,99.0,"Directly relevant to climate mitigation, biodiversity, and restoration targets; identifies priority countries and areas usable by governments, NGOs, and markets. Broad applicability across the tropics with quantified carbon potential and policy discussion."
Xing et al. 2023,overall,92.0,85.0,97.0,"Ambitious, well-executed applied study linking urban afforestation to air quality, pollen, and ER outcomes with multiple data sources. Credible quasi-experimental wind-direction design and remote-sensing audit. Clear quantification of benefits vs risks. Minor concerns on some identification nuances and generalizability beyond Beijing."
Xing et al. 2023,claims_evidence,90.0,82.0,96.0,"Core claims are precise and supported by convergent evidence: satellite NDVI/AOD, in-situ monitors, wind directivity, and ER claims data. Strong placebo and robustness checks. Some reliance on OLS for health elasticities and composite marginalization may leave residual confounding and measurement concerns."
Xing et al. 2023,methods,88.0,80.0,94.0,"Careful design addressing interference via upwind vs downwind, rich fixed effects, event studies, sensitivity to cone/radius. Clear link Policy→Green→Env→Health. Limits: some steps use OLS not IV; potential NDVI–AOD shared-source issue acknowledged; medical categorization via drugs may misclassify diagnoses."
Xing et al. 2023,advancing_knowledge,92.0,85.0,97.0,Novel integrated assessment of urban forests’ dual environmental-health effects at city scale with credible causal design; provides actionable species-level insights and cost-benefit framing. Bridges econ with atmospheric science and public health; useful for urban policy and green infrastructure planning.
Xing et al. 2023,logic_communication,89.0,82.0,95.0,"Clear articulation of framework, assumptions, and steps; figures/tables informative; limitations transparently discussed. Dense in places and some technical choices could be further justified, but overall reasoning is coherent and conclusions match evidence."
Xing et al. 2023,open_science,70.0,58.0,82.0,"Uses largely public RS and monitor data, but key administrative claims data and digitized MMP polygons may not be fully shareable; replication package not evident. Good methodological transparency; could improve by releasing code, derived datasets, and shapefiles where permitted."
Xing et al. 2023,global_relevance,94.0,88.0,98.0,High policy relevance for rapidly urbanizing regions and cities pursuing green infrastructure. Quantifies trade-offs and health impacts with transferable methodology. Offers species guidance and population targeting; broadly applicable beyond Beijing.
